item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
vauban_prime_neuroptics_blueprint,2025-08-12T21:44:14Z,26.0,10,37.667,15,pc,294
hikou_prime_stars,2025-08-12T21:44:15Z,4.0,2,8.333,12,pc,102
intruder,2025-08-12T21:44:16Z,,0,1.667,12,pc,7
prisma_angstrum,2025-08-12T21:44:16Z,35.333,3,61.333,19,pc,45
phaedra_stock,2025-08-12T21:44:17Z,5.0,3,14.0,8,pc,53
scorch,2025-08-12T21:44:18Z,7.0,1,8.667,36,pc,215
entropy_spike,2025-08-12T21:44:20Z,,0,8.0,10,pc,9
eleventh_storm,2025-08-12T21:44:21Z,,0,3.0,27,pc,19
nova_prime_neuroptics_blueprint,2025-08-12T21:44:21Z,7.5,2,14.0,19,pc,321
nova_prime_chassis_blueprint,2025-08-12T21:44:22Z,48.333,11,60.0,17,pc,361
prism_guard,2025-08-12T21:44:23Z,12.0,1,15.0,21,pc,112
trick_mag,2025-08-12T21:44:24Z,,0,3.0,9,pc,18
nova_prime_blueprint,2025-08-12T21:44:25Z,10.0,2,17.333,26,pc,350
deceptive_bond,2025-08-12T21:44:26Z,,0,7.667,13,pc,8
frost_prime_neuroptics_blueprint,2025-08-12T21:44:27Z,5.0,5,10.0,22,pc,201
arcane_squall_helmet,2025-08-12T21:44:28Z,136.667,3,383.0,6,pc,7
calculated_redirection,2025-08-12T21:44:28Z,15.0,1,1.0,34,pc,27
charged_shell,2025-08-12T21:44:29Z,,0,3.333,23,pc,29
cleanse_corpus,2025-08-12T21:44:30Z,,0,3.333,18,pc,7
searing_steel,2025-08-12T21:44:31Z,5.0,1,105.0,2,pc,13
accelerated_deflection,2025-08-12T21:44:31Z,,0,1.333,24,pc,9
clashing_forest,2025-08-12T21:44:32Z,,0,1.667,31,pc,9
primal_rage,2025-08-12T21:44:33Z,,0,10.0,25,pc,86
celestial_stomp,2025-08-12T21:44:34Z,,0,14.0,21,pc,22
secura_penta,2025-08-12T21:44:35Z,25.0,1,34.667,7,pc,93
razor_shot,2025-08-12T21:44:36Z,,0,8.667,9,pc,11
creeping_terrify,2025-08-12T21:44:37Z,,0,11.667,18,pc,30
trinity_prime_blueprint,2025-08-12T21:44:37Z,6.0,2,14.667,21,pc,216
grim_fury,2025-08-12T21:44:38Z,,0,3.0,14,pc,8
